STT Tổng hợp,STT,Tên cơ sở,Địa chỉ,Ngành nghề/ Loại hình kinh doanh,Tiêu thụ năng lượng (TOE) / Công suất,Tỉnh / Thành phố,Vùng,Ngành / Lĩnh vực,Phụ lục
308,308,Công ty TNHH Nhựa Cao Su Tieeing Việt Nam,"Km 5, quốc lộ 18, khu công nghiệp Quế Võ, phường Phương Liễu, thị xã Quế Võ, tỉnh Bắc Ninh",Sản xuất sản phẩm từ nhựa,1.069,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
309,309,Công ty TNHH THK Manufacturing Việt Nam,"Lô 5, TS9, khu công nghiệp Tiên Sơn, xã Nội Duệ, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất, gia công, lắp ráp và bán thiết bị thanh ray trượt",1.759,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
310,310,Công ty TNHH Vinatech Vina,"Thôn Hà Liễu, xã Phương Liễu, huyện Quế Võ, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,1.515,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
311,311,Công ty TNHH Sản xuất và Thương mại Ngũ Long,"Cụm công nghiệp Xuân Lâm, phường Xuân Lâm, thị xã Thuận Thành, tỉnh Bắc Ninh",Sản xuất các sản phẩm từ cao su và nhựa các loại,2.124,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
312,312,Công ty Tân Huy Kiệt - TNHH,"Cụm công nghiệp Phong Khê 2, phường Phong Khê, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất giấy và sản phẩm từ giấy,1.799,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
313,313,Công ty TNHH Sản xuất và Thương mại Vân Phú,"Số nhà 100, đường Võ Thị Sáu, phường Ninh Xá, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất giấy và sản phẩm từ giấy,1.307,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
314,314,Chi nhánh Công ty cổ phần Công nghiệp - Dịch vụ - Thương mại Ngọc Nghĩa tại Bắc Ninh,"Lô A3-1 khu công nghiệp Đại Đồng - Hoàn Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất các sản phẩm từ cao su và nhựa các loại,1.469,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
315,315,Công ty TNHH Thiết bị điện tử LS Việt Nam,"Số 5, đường 11, khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,1.078,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
316,316,Công ty TNHH Năng lượng mặt trời Dehui Việt Nam,"Lô C8-5, C8-6, C8-7, C8-8 khu công nghiệp Đại Đồng - Hoàn Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất pin năng lượng mặt trời,1.121,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
317,317,Công ty TNHH Megaelec,"Số 02 đường 7, khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,2.366,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
318,318,Công ty Nam Á - TNHH,"Lô 16, khu công nghiệp Quế Võ, xã Phương Liễu, huyện Quế Võ, tỉnh Bắc Ninh",Sản xuất công nghiệp,1.199,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
319,319,Công ty TNHH Fine MS Vina,"Lô G2, khu công nghiệp Quế Võ, xã Nam Sơn, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất công nghiệp,3.547,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
320,320,Công ty TNHH Sản xuất và Thương mại giấy Hải Nam,"Khu Đào Xá, phường Phong Khê, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất giấy và sản phẩm từ giấy,1.808,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
321,321,Công ty TNHH Cresyn Hà Nội,"Cụm công nghiệp đa nghề Đông Thọ, xã Đông Thọ, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất tai nghe,2.260,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
322,322,Chi nhánh Công ty TNHH Ojitex Hải Phòng tại Bắc Ninh,"Số 102 đường Hữu Nghị, khu công nghiệp VSIP, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh","Sản xuất giày, dép",1.342,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
323,323,Công ty cổ phần Tân Phú Việt Nam (Chi nhánh Bắc Ninh),"Cụm công nghiệp Xuân Lâm, xã Xuân Lâm, huyện Thuận Thành, tỉnh Bắc Ninh",Sản xuất công nghiệp,1.001,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
324,324,Chi nhánh Công ty cổ phần Sản xuất và Xuất nhập khẩu Bao bì Thăng Long,"Lô D, cụm công nghiệp đa nghề Đình Bảng, phường Đình Bảng, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất sản phẩm từ nhựa,1.060,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
325,325,Công ty TNHH giấy Tân Hoàng Nga,"Khu Dương Ổ, phường Phong Khê, thành phố Bắc Ninh, tỉnh Bắc Ninh","Sản xuất bột giấy, giấy và bìa",2.356,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
326,326,Công ty cổ phần Sản xuất và Thương mại giấy Ngọc Hà,"Khu Đào Xá, phường Phong Khê, thành phố Bắc Ninh, tỉnh Bắc Ninh","Sản xuất bột giấy, giấy và bìa",1.037,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
327,327,Công ty TNHH Fujikin Việt Nam (Chi nhánh nhà máy Bắc Ninh),"Khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất công nghiệp,1.081,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
328,328,Công ty TNHH Vietnam Sunergy (Bắc Ninh),"Lô CN-09.1, khu công nghiệp Thuận Thành II, xã Mão Điền, thị xã Thuận Thành, tỉnh Bắc Ninh",Sản xuất pin và ắc quy,1.590,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
329,329,Chi nhánh Công ty cổ phần thực phẩm Hữu Nghị tại miền Bắc,"Lô CN-15-2, khu công nghiệp Yên Phong, xã Yên Trung, huyện Yên Phong, tỉnh Bắc Ninh","Sản xuất, chế biến thực phẩm",1.061,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
330,330,Công ty TNHH ACE Vina,"Lô G4-3, khu công nghiệp Quế Võ, phường Nam Sơn, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất công nghiệp,1.289,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
331,331,Công ty TNHH Công nghiệp Chiến Thắng,"Khu công nghiệp Đại Đồng - Hoàn Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất công nghiệp,1.099,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
332,332,Công ty TNHH Air Liquide Việt Nam (Nhà máy Yên Phong),"Khu công nghiệp Yên Phong, xã Đông Phong, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất khí công nghiệp,10.915,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
333,333,Công ty TNHH Công nghiệp thực phẩm Liwayway Hà Nội,"Lô C4-C5, khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất các loại bánh từ bột,2.748,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
334,334,Công ty cổ phần Casla,"Khu công nghiệp Châu Sơn, phường Châu Sơn, thành phố Phủ Lý, tỉnh Hà Nam","Sản xuất sợi, dệt vải",2.046,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
335,335,Công ty cổ phần nhựa Kiên An,"Cụm công nghiệp Kim Bình, xã Kim Bình, thành phố Phủ Lý, tỉnh Hà Nam",Sản xuất tấm nhựa,1.044,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
336,336,Công ty TNHH JY Plastic,"Cụm công nghiệp Bình Lục, xã Trung Lương, huyện Bình Lục, tỉnh Hà Nam",Sản xuất các sản phẩm từ nhựa,1.726,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
337,337,Công ty TNHH Nhôm ASEAN,"Khu công nghiệp Châu Sơn, phường Lê Hồng Phong, thành phố Phủ Lý, tỉnh Hà Nam",Sản xuất thanh nhôm định hình,1.131,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
338,338,Công ty TNHH Pin GP,"Đường N3, khu C, khu công nghiệp Hoà Mạc, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất pin,18.126,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
339,339,Công ty cổ phần Vải địa kỹ thuật Việt Nam,"Lô 80, khu công nghiệp Đồng Văn, phường Đồng Văn, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất vải địa kỹ thuật,1.236,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
340,340,Công ty YKK Việt Nam (Chi nhánh Hà Nam),"Khu công nghiệp Đồng Văn III, phường Hoàng Đông, thị xã Duy Tiên, tỉnh Hà Nam","Sản xuất các loại khóa kéo, các sản phẩm có liên quan, nguyên phụ liệu dùng cho ngành may",1.891,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
341,341,Công ty TNHH Gemtek Việt Nam,"Khu công nghiệp Đồng Văn II, phường Duy Minh, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất thiết bị điện tử,1.231,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
342,342,Công ty TNHH MNS Meat Hà Nam,"Lô CN-02, khu công nghiệp Đồng Văn IV, xã Đại Cương, huyện Kim Bảng, tỉnh Hà Nam","Chế biến, bảo quản thịt và các sản phẩm từ thịt",1.212,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
343,343,Chi nhánh Công ty TNHH Quốc tế Vũ Gia,"Khu công nghiệp Đồng Văn IV, xã Đại Cương, huyện Kim Bảng, tỉnh Hà Nam",Sản xuất sợi,4.480,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
344,344,Công ty TNHH Dệt may Châu Giang,"Xóm 7, xã Hoà Hậu, huyện Lý Nhân, tỉnh Hà Nam",Sản xuất vải dệt thoi,1.832,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
345,345,Công ty cổ phần đầu tư công nghệ và thương mại Ha Na,"Thôn Lê Lợi, phường Châu Sơn, thành phố Phủ Lý, tỉnh Hà Nam",Sản xuất sợi bông,1.809,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
346,346,Công ty cổ phần Vikohasan,"Khu công nghiệp Đồng Văn IV, xã Đại Cương, huyện Kim Bảng, tỉnh Hà Nam",Sản xuất sợi,7.413,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
347,347,Công ty cổ phần Nam Vang Hà Nam,"Lô F3, đường N4, khu công nghiệp Châu Sơn, thành phố Phủ Lý, tỉnh Hà Nam","Sản xuất xơ, sợi",5.586,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
348,348,Chi nhánh Tổng công ty cổ phần dệt may Hà Nội tại Hà Nam,"Khu công nghiệp Đồng Văn II, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất sợi dệt may,4.710,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
349,349,Công ty TNHH sợi Long Vân,"Khu công nghiệp Châu Sơn, thành phố Phủ Lý, tỉnh Hà Nam","Sản xuất sợi, dệt vải",5.432,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
350,350,Công ty TNHH Dệt Hà Nam,"Khu công nghiệp Châu Sơn, thành phố Phủ Lý, tỉnh Hà Nam","Sản xuất sợi, dệt vải",13.896,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
351,351,Công ty TNHH Nittoku Việt Nam,"Cụm công nghiệp Thi Sơn, xã Thi Sơn, huyện Kim Bảng, tỉnh Hà Nam",Sản xuất giấy,6.085,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
352,352,Công ty TNHH Quang Quân,"Khu công nghiệp Đồng Văn I, phường Bạch Thượng, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất sản phẩm từ nhựa,1.239,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
353,353,Công ty cổ phần nhựa Quỳnh Hằng SP,"Lô C, khu công nghiệp Đồng Văn I, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất sản phẩm từ nhựa,1.422,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
354,354,Công ty cổ phần JY Plasteel Vina,"Khu công nghiệp Châu Sơn, thành phố Phủ Lý, tỉnh Hà Nam",Sản xuất sản phẩm từ nhựa,2.271,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
355,355,Công ty TNHH nhựa Đông Á,"Khu công nghiệp Châu Sơn, thành phố Phủ Lý, tỉnh Hà Nam",Sản xuất sản phẩm từ nhựa,2.101,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
356,356,Công ty TNHH Dream Plastic,"Lô C, khu công nghiệp Châu Sơn, phường Châu Sơn, thành phố Phủ Lý, tỉnh Hà Nam",Sản xuất sản phẩm khác từ nhựa,14.919,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
357,357,Công ty cổ phần Nhựa Châu Âu,"Khu công nghiệp Đồng Văn, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất nhựa và cao su tổng hợp dạng nguyên sinh,5.806,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
358,358,Công ty TNHH hệ thống dây dẫn Sumi Việt Nam,"Lô B1, khu công nghiệp Đồng Văn II, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất dây cáp điện,1.334,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
359,359,Công ty TNHH Đồng kỹ thuật Korea Việt Nam,"Khu công nghiệp Đồng Văn I, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất dây điện tử và các loại đồng,2.783,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
360,360,Công ty TNHH ACE Antena,"Khu công nghiệp Đồng Văn II, thị xã Duy Tiên, tỉnh Hà Nam","Sản xuất ăng ten, bộ lọc tần",1.884,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
361,361,Công ty TNHH Dorco Vian (Chi nhánh Hà Nam),"Đường D3, khu G, khu công nghiệp Hoà Mạc, phường Hoà Mạc, thị xã Duy Tiên, tỉnh Hà Nam","Sản xuất dao kéo, dụng cụ cầm tay và đồ kim loại thông dụng",3.618,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
362,362,Chi nhánh Công ty Honda Việt Nam tại Hà Nam,"Khu công nghiệp Đồng Văn II, phường Duy Minh, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất lắp ráp xe gắn máy và các phụ tùng xe máy,8.506,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
363,363,Công ty TNHH SRE Việt Nam,"Khu công nghiệp Đồng Văn II, phường Duy Minh, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất sản phẩm từ chất khoáng phi kim loại,1.298,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
364,364,Công ty TNHH Anam Electronics Việt Nam,"Khu công nghiệp Đồng Văn IV, xã Đại Cương, huyện Kim Bảng, tỉnh Hà Nam",Sản xuất sản phẩm điện tử dân dụng,1.369,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
365,365,Công ty TNHH Finetek Việt Nam,"Lô A1,3, đường N2, khu A, khu công nghiệp Hoà Mạc, thị xã Duy Tiên, tỉnh Hà Nam","Sản xuất linh kiện, thiết bị điện tử",1.608,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
366,366,Công ty TNHH Hankook A L Tec Vina,"Khu công nghiệp Đồng Văn I, thị xã Duy Tiên, tỉnh Hà Nam","Sản xuất linh kiện, thiết bị điện tử",1.129,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
367,367,Công ty TNHH Seoul Semiconductor Vina,"Khu công nghiệp Đồng Văn I, phường Bạch Thượng, thị xã Duy Tiên, tỉnh Hà Nam","Sản xuất linh kiện, thiết bị điện tử",10.242,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
368,368,Công ty FrieslandCampina Hà Nam,"Cụm Công nghiệp Tây Nam, thành phố Phủ Lý, tỉnh Hà Nam",Sữa và các sản phẩm từ sữa,4.811,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
369,369,Công ty TNHH MTV Bia Sài Gòn - Phủ Lý,"104-106 đường Trần Phú, phường Quang Trung, thành phố Phủ Lý, tỉnh Hà Nam",Sản xuất bia,5.998,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
370,370,Công ty TNHH Number One Hà Nam,"Khu công nghiệp Thanh Liêm, phường Thanh Tuyên, thành phố Phủ Lý, tỉnh Hà Nam",Sản xuất đồ uống giải khát và thực phẩm,3.123,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
371,371,Công ty TNHH Kortek Vina,"Khu công nghiệp Đồng Văn IV, xã Đại Cương, huyện Kim Bảng, tỉnh Hà Nam",Sản xuất sản phẩm điện tử dân dụng,1.678,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
372,372,Công ty TNHH MTV Dệt 19/5 Hà Nội,"Khu công nghiệp Đồng Văn, thị xã Duy Tiên, tỉnh Hà Nam","Sản xuất sản phẩm dệt, vải",1.340,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
373,373,Công ty TNHH may Kim Bình,"Cụm công nghiệp Kim Bình, xã Kim Bình, thành phố Phủ Lý, tỉnh Hà Nam",Sản xuất hàng dệt may,1.718,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
374,374,Công ty TNHH Vina ITO,"Khu công nghiệp hỗ trợ Đồng Văn III, thị xã Duy Tiên, tỉnh Hà Nam",Đúc kim loại,1.189,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
375,375,Công ty cổ phần gang thép Hà Nam,"Khu công nghiệp Đồng Văn I, thị xã Duy Tiên, tỉnh Hà Nam",Sản xuất thép,3.894,Tỉnh Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
376,376,Công ty TNHH công nghiệp Oriental Sports,"Xã Đồng Lạc, huyện Nam Sách, tỉnh Hải Dương",Sản xuất giày dép,1.449,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
377,377,Công ty TNHH Quốc tế Ngân Tường,"Lô 01, 02, 03 điểm tiểu thủ công nghiệp, xã Gia Xuyên, thành phố Hải Dương, tỉnh Hải Dương",Sản xuất sợi,4.021,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
378,378,Công ty TNHH Giầy Ngọc Hưng,"Cụm công nghiệp Lương Điền, huyện Cẩm Giàng, tỉnh Hải Dương",Sản xuất giày dép,2.035,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
379,379,Công ty TNHH Vietory,"Phường Hiệp An, thị xã Kinh Môn, tỉnh Hải Dương",Sản xuất giày dép,1.548,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
380,380,Công ty TNHH Dệt Pacipic Crystal,"Khu công nghiệp Lai Vu, huyện Kim Thành, tỉnh Hải dương","Sản xuất sợi, vải dệt thoi và hoàn thiện sản phẩm dệt",16.444,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
381,381,Công ty TNHH Best Pacific Việt Nam,"Lô đất IN4.1.1 khu công nghiệp Cẩm Điền - Lương Điền, xã Lương Điền, huyện Cẩm Giàng, tỉnh Hải Dương","Sản xuất vải dệt kim, vải đan móc và vải không dệt khác",5.508,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
382,382,Công ty TNHH Thương mại Bảo Long,"Đội 3 thôn Bình Giang, phường Phả Lại, thành phố Chí Linh, tỉnh Hải Dương","Sản xuất kinh doanh sợi, vải",1.395,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
383,383,Công ty TNHH may Tỉnh Lợi,"Khu công nghiệp Nam Sách, thành phố Hải Dương, tỉnh Hải Dương",Sản xuất trang phục,7.331,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
384,384,Công ty cổ phần Tấn Hưng,"Thôn Ngọc Lặc, xã Ngọc Sơn, thành phố Hải Dương, tỉnh Hải Dương","Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",1.083,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
385,385,Công ty TNHH MTV Thương mại Tuấn Tài,"Phường Thất Hùng, thị xã Kinh Môn, tỉnh Hải Dương","Sản xuất giấy, bao bì",7.682,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
386,386,Công ty TNHH Thành Dũng,"Phường Long Xuyên, thị xã Kinh Môn, tỉnh Hải Dương",Sản xuất giấy nhãn và bìa nhãn,12.058,Tỉnh Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
